상품종류,단축코드,표준코드,한글종목명,행사가,기초자산단축코드,기초자산명
1,A01606,KR4A01660005,F 202606,00000.001,2001,KOSPI200
1,A01609,KR4A01690002,F 202609,00000.002,2001,KOSPI200
1,A01612,KR4A016C0004,F 202612,00000.003,2001,KOSPI200
1,A01703,KR4A01730006,F 202703,00000.004,2001,KOSPI200
1,A01706,KR4A01760003,F 202706,00000.005,2001,KOSPI200
1,A01712,KR4A017C0003,F 202712,00000.006,2001,KOSPI200
1,A01812,KR4A018C0002,F 202812,00000.007,2001,KOSPI200
2,D0160601,KR4D016669S5,SP 2606-2609,00000.001,2001,KOSPI200
2,D0160602,KR4D01666CS5,SP 2606-2612,00000.001,2001,KOSPI200
2,D0160603,KR4D016673S7,SP 2606-2703,00000.001,2001,KOSPI200
2,D0160604,KR4D016676S0,SP 2606-2706,00000.001,2001,KOSPI200
2,D0160605,KR4D01667CS3,SP 2606-2712,00000.001,2001,KOSPI200
2,D0160606,KR4D01668CS1,SP 2606-2812,00000.001,2001,KOSPI200
